 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Período:1994-2019
"Ano";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"2015";105,08;90,93;95,35;98,19;97,74;96,30;94,23;98,29;...;46,31;97,07;88,35;87,85;84,52;96,07;79,94;77,37;96,90;...;85,78;...;...;45,57;44,97;85,61
"2016";95,55;81,75;88,98;91,68;105,19;89,27;95,00;84,43;...;44,59;71,58;84,10;93,86;74,36;95,41;76,71;79,04;89,53;2,73;64,28;...;...;31,53;33,81;72,16
"2017";97,12;85,20;84,65;87,04;86,29;83,78;91,56;84,27;0,62;46,46;83,05;79,66;82,13;78,06;90,85;76,45;36,86;84,02;2,81;74,29;...;...;34,56;42,36;76,70
"2018";97,72;86,73;89,76;87,50;92,91;87,10;93,43;88,17;0,47;58,40;82,16;80,02;79,72;71,90;91,89;76,49;32,46;87,31;1,93;67,49;...;...;47,02;63,06;79,67
"2019";52,95;48,33;52,47;53,66;55,93;49,73;54,43;51,54;0,19;39,91;52,09;50,50;55,16;45,89;57,19;48,37;22,46;49,86;1,00;38,70;...;...;30,73;41,97;49,46
"Total";105,82;68,79;58,57;61,23;78,46;77,80;81,04;94,18;0,43;37,72;63,73;80,51;82,82;76,27;102,30;74,23;53,27;85,86;3,31;72,52;85,97;26,00;40,48;33,97;73,56
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

